species	common_name	order	family	pop	author	class	region	location	lon	lat	hybrid	island	habitat_type	doi_data	doi_paper	num_individuals	num_loci	gene_diversity	allelic_richness	global_fst	Ne	Ne_lower	Ne_upper	migratory	migration notes	source_migratory	mating system	source_matingsys	breeding interval	source_breedingint
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	ER.15.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.1344	10.47287	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	12	16	0.701823	4.240439	-0.01078	97.6	22	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	ER.36.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.324	10.4543	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	11	16	0.660124	4.239517	0.045505	19.9	9.7	84.7	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	P.1.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.1698	10.5466	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	9	16	0.685571	4.384408	-0.00189	57.5	15.5	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	ER.23.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.1457	10.42149	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	9	16	0.679398	4.285235	0.00713	NA	34.4	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	P.3.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.1164	10.57521	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	11	16	0.680527	4.161466	0.016004	371.3	25.8	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	BT.4.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.1625	10.66241	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	7	16	0.645408	4.104708	0.04068	NA	40.2	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	ER.20.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.1	10.46542	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	13	16	0.700074	4.454498	-0.0049	NA	46	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	BT.5.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.2008	10.67353	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	7	16	0.711735	4.617008	-0.05791	148.9	13	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	ER.27.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.1537	10.46169	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	21	16	0.711026	4.395413	-0.0053	635.5	56.6	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	ER.1.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.108	10.4428	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	22	16	0.723088	4.417281	-0.02129	46.3	25.2	153	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	P.3.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.1788	10.53256	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	11	16	0.680527	4.161466	0.016004	371.3	25.8	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	ER.24.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.1516	10.40755	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	20	16	0.722949	4.387025	-0.02347	103.1	38.5	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	ER.19.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.1285	10.43424	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	16	16	0.679077	4.092727	0.032498	38.2	17.9	384.7	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	P.D.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.1338	10.551	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	26	16	0.684449	4.140933	0.036795	672.3	68.2	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	P.9.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.1816	10.55646	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	13	16	0.683234	4.176479	0.019035	22.9	12.4	67.6	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	ER.40.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.2458	10.41098	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	10	16	0.68125	4.274145	0.010246	105.8	21.1	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	SV.1.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.0671	10.44591	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	15	16	0.705417	4.351534	-0.00719	61.6	26	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	SV.2.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.0712	10.43134	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	20	16	0.704137	4.263095	0.003127	115	40	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
